unit,tra_meas,to,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,codes
PAS,PAS_CRD,New York,19237215,18397949,17833096,17220219,16483552,16109075,16186418,15620840,15315260,16282185,16234712,14923315,14295676,13313653,10455635,11201117,10445871,11865063,11886787,12501758,11407763,10243938,9997030,9498544,8707474,"[""AT_LOWW_US_KEWR"" ""AT_LOWW_US_KJFK"" ""BE_EBBR_US_KEWR"" ""BE_EBBR_US_KJFK"" ""CH_LSGG_US_KEWR"" ""CH_LSGG_US_KJFK"" ""CH_LSZH_US_KEWR"" ""CH_LSZH_US_KJFK"" ""DE_EDDF_US_KEWR"" ""DE_EDDF_US_KJFK"" ""DE_EDDH_US_KEWR"" ""DE_EDDH_US_KJFK"" ""DE_EDDK_US_KEWR"" ""DE_EDDL_US_KEWR"" ""DE_EDDL_US_KJFK"" ""DE_EDDM_US_KEWR"" ""DE_EDDM_US_KJFK"" ""DE_EDDS_US_KEWR"" ""DE_EDDS_US_KJFK"" ""DE_EDDT_US_KEWR"" ""DE_EDDT_US_KJFK"" ""DK_EKCH_US_KEWR"" ""DK_EKCH_US_KJFK"" ""EL_LGAT_US_KJFK"" ""EL_LGAV_US_KEWR"" ""EL_LGAV_US_KJFK"" ""ES_LEBL_US_KEWR"" ""ES_LEBL_US_KJFK"" ""ES_LEMD_US_KEWR"" ""ES_LEMD_US_KJFK"" ""FI_EFHK_US_KJFK"" ""FR_LF90_US_KJFK"" ""FR_LFLL_US_KJFK"" ""FR_LFMN_US_KJFK"" ""FR_LFPG_US_KEWR"" ""FR_LFPG_US_KJFK"" ""FR_LFPO_US_KEWR"" ""FR_LFPO_US_KJFK"" ""FR_LFSB_US_KJFK"" ""FR_TFFF_US_KJFK"" ""FR_TFFR_US_KJFK"" ""HU_LHBP_US_KJFK"" ""IE_EIDW_US_KEWR"" ""IE_EIDW_US_KJFK"" ""IE_EINN_US_KEWR"" ""IE_EINN_US_KJFK"" ""IS_BIKF_US_KEWR"" ""IS_BIKF_US_KJFK"" ""IT_LIMC_US_KEWR"" ""IT_LIMC_US_KJFK"" ""IT_LIPZ_US_KEWR"" ""IT_LIPZ_US_KJFK"" ""IT_LIRF_US_KEWR"" ""IT_LIRF_US_KJFK"" ""IT_LIRP_US_KJFK"" ""NL_EHAM_US_KEWR"" ""NL_EHAM_US_KJFK"" ""NO_ENGM_US_KEWR"" ""NO_ENGM_US_KJFK"" ""PL_EPWA_US_KEWR"" ""PL_EPWA_US_KJFK"" ""PT_LPPR_US_KEWR"" ""PT_LPPT_US_KEWR"" ""PT_LPPT_US_KJFK"" ""RO_LROP_US_KJFK"" ""RO_LRTR_US_KJFK"" ""SE_ESSA_US_KEWR"" ""SE_ESSA_US_KJFK"" ""UK_EGAA_US_KEWR"" ""UK_EGAA_US_KJFK"" ""UK_EGBB_US_KEWR"" ""UK_EGBB_US_KJFK"" ""UK_EGCC_US_KEWR"" ""UK_EGCC_US_KJFK"" ""UK_EGGD_US_KEWR"" ""UK_EGKK_US_KEWR"" ""UK_EGKK_US_KJFK"" ""UK_EGLL_US_KEWR"" ""UK_EGLL_US_KJFK"" ""UK_EGPF_US_KEWR"" ""UK_EGPF_US_KJFK"" ""UK_EGPH_US_KEWR"" ""UK_EGPH_US_KJFK"" ""UK_EGSS_US_KJFK""]"
PAS,PAS_CRD,Dubai,18522714,17229058,16062378,14513833,13203422,11170520,9728309,9084196,7981060,7190893,6699353,5794497,4829492,4280469,3449480,2907127,2274899,1899515,1432022,1197547,1040431,927605,643983,494314,524533,"[""AT_LOWW_AE_OMDB"" ""BE_EBBR_AE_OMDB"" ""CH_LSGG_AE_OMDB"" ""CH_LSZH_AE_OMDB"" ""CY_LCLK_AE_OMDB"" ""DE_EDDF_AE_OMDB"" ""DE_EDDH_AE_OMDB"" ""DE_EDDL_AE_OMDB"" ""DE_EDDM_AE_OMDB"" ""DE_EDDT_AE_OMDB"" ""DK_EKCH_AE_OMDB"" ""EL_LGAV_AE_OMDB"" ""ES_LEBL_AE_OMDB"" ""ES_LEMD_AE_OMDB"" ""FI_EFHK_AE_OMDB"" ""FR_LF90_AE_OMDB"" ""FR_LFLL_AE_OMDB"" ""FR_LFMN_AE_OMDB"" ""FR_LFPG_AE_OMDB"" ""HR_LDZA_AE_OMDB"" ""HU_LHBP_AE_OMDB"" ""IE_EIDW_AE_OMDB"" ""IT_LIMC_AE_OMDB"" ""IT_LIPE_AE_OMDB"" ""IT_LIPZ_AE_OMDB"" ""IT_LIRF_AE_OMDB"" ""MT_LMML_AE_OMDB"" ""NL_EHAM_AE_OMDB"" ""NO_ENGM_AE_OMDB"" ""PL_EPWA_AE_OMDB"" ""PT_LPPT_AE_OMDB"" ""RO_LROP_AE_OMDB"" ""SE_ESSA_AE_OMDB"" ""SK_LZIB_AE_OMDB"" ""UK_EGBB_AE_OMDB"" ""UK_EGCC_AE_OMDB"" ""UK_EGKK_AE_OMDB"" ""UK_EGLL_AE_OMDB"" ""UK_EGNT_AE_OMDB"" ""UK_EGPF_AE_OMDB""]"
PAS,PAS_CRD,Moskva,15687967,13900818,12826985,14873663,14736942,13000503,10841566,8552969,6708325,7271009,6417849,5074979,4435638,3884644,3326150,2733999,2324387,1865361,1806818,1763144,1679987,1038053,1186632,1099555,926249,"[""AT_LOWS_RU_UUDD"" ""AT_LOWS_RU_UUEE"" ""AT_LOWS_RU_UUWW"" ""AT_LOWW_RU_UUDD"" ""AT_LOWW_RU_UUEE"" ""AT_LOWW_RU_UUWW"" ""BE_EBBR_RU_UUDD"" ""BE_EBBR_RU_UUEE"" ""BE_EBLG_RU_UUDD"" ""BE_EBLG_RU_UUWW"" ""BG_LBBG_RU_UUDD"" ""BG_LBBG_RU_UUEE"" ""BG_LBBG_RU_UUWW"" ""BG_LBSF_RU_UUEE"" ""BG_LBWN_RU_UUDD"" ""BG_LBWN_RU_UUEE"" ""BG_LBWN_RU_UUWW"" ""CH_LSGG_RU_UUDD"" ""CH_LSGG_RU_UUEE"" ""CH_LSZH_RU_UUDD"" ""CH_LSZH_RU_UUEE"" ""CY_LCLK_RU_UUDD"" ""CY_LCLK_RU_UUEE"" ""CY_LCLK_RU_UUWW"" ""CY_LCPH_RU_UUDD"" ""CY_LCPH_RU_UUEE"" ""CY_LCPH_RU_UUWW"" ""DE_EDDB_RU_UUEE"" ""DE_EDDC_RU_UUEE"" ""DE_EDDC_RU_UUWW"" ""DE_EDDF_RU_UUDD"" ""DE_EDDF_RU_UUEE"" ""DE_EDDF_RU_UUWW"" ""DE_EDDH_RU_UUEE"" ""DE_EDDK_RU_UUWW"" ""DE_EDDL_RU_UUDD"" ""DE_EDDL_RU_UUEE"" ""DE_EDDM_RU_UUDD"" ""DE_EDDM_RU_UUEE"" ""DE_EDDS_RU_UUEE"" ""DE_EDDT_RU_UUDD"" ""DE_EDDT_RU_UUWW"" ""DE_EDDV_RU_UUEE"" ""DE_EDDV_RU_UUWW"" ""DE_EDJA_RU_UUWW"" ""DE_EDSB_RU_UUWW"" ""DK_EKCH_RU_UUEE"" ""EE_EETN_RU_UUEE"" ""EL_LGAT_RU_UUWW"" ""EL_LGAV_RU_UUDD"" ""EL_LGAV_RU_UUEE"" ""EL_LGIR_RU_UUDD"" ""EL_LGIR_RU_UUEE"" ""EL_LGIR_RU_UUWW"" ""EL_LGKO_RU_UUDD"" ""EL_LGKO_RU_UUWW"" ""EL_LGKR_RU_UUDD"" ""EL_LGKR_RU_UUWW"" ""EL_LGRP_RU_UUDD"" ""EL_LGRP_RU_UUEE"" ""EL_LGRP_RU_UUWW"" ""EL_LGRX_RU_UUDD"" ""EL_LGRX_RU_UUWW"" ""EL_LGSA_RU_UUDD"" ""EL_LGSA_RU_UUEE"" ""EL_LGSR_RU_UUDD"" ""EL_LGTS_RU_UUDD"" ""EL_LGTS_RU_UUEE"" ""EL_LGTS_RU_UUWW"" ""EL_LGZA_RU_UUDD"" ""ES_GCTS_RU_UUDD"" ""ES_GCTS_RU_UUEE"" ""ES_LEAL_RU_UUDD"" ""ES_LEAL_RU_UUEE"" ""ES_LEBL_RU_UUDD"" ""ES_LEBL_RU_UUEE"" ""ES_LEBL_RU_UUWW"" ""ES_LEGE_RU_UUEE"" ""ES_LEGE_RU_UUWW"" ""ES_LEMD_RU_UUDD"" ""ES_LEMD_RU_UUEE"" ""ES_LEMG_RU_UUEE"" ""ES_LEPA_RU_UUDD"" ""ES_LERS_RU_UUEE"" ""ES_LEVC_RU_UUEE"" ""FI_EFHK_RU_UUEE"" ""FR_LF90_RU_UUEE"" ""FR_LFLB_RU_UUDD"" ""FR_LFLS_RU_UUDD"" ""FR_LFMN_RU_UUEE"" ""FR_LFPG_RU_UUEE"" ""FR_LFPO_RU_UUWW"" ""HR_LDDU_RU_UUDD"" ""HR_LDDU_RU_UUEE"" ""HR_LDPL_RU_UUDD"" ""HR_LDPL_RU_UUEE"" ""HR_LDPL_RU_UUWW"" ""HR_LDSP_RU_UUDD"" ""HR_LDSP_RU_UUEE"" ""HR_LDZA_RU_UUEE"" ""HU_LHBP_RU_UUEE"" ""HU_LHBP_RU_UUWW"" ""IT_LIMC_RU_UUEE"" ""IT_LIME_RU_UUWW"" ""IT_LIML_RU_UUEE"" ""IT_LIPE_RU_UUEE"" ""IT_LIPK_RU_UUDD"" ""IT_LIPR_RU_UUDD"" ""IT_LIPR_RU_UUEE"" ""IT_LIPR_RU_UUWW"" ""IT_LIPX_RU_UUDD"" ""IT_LIPY_RU_UUDD"" ""IT_LIPY_RU_UUEE"" ""IT_LIPZ_RU_UUEE"" ""IT_LIRF_RU_UUEE"" ""IT_LIRP_RU_UUWW"" ""LT_EYVI_RU_UUEE"" ""LT_EYVI_RU_UUWW"" ""LV_EVRA_RU_UUDD"" ""LV_EVRA_RU_UUEE"" ""LV_EVRA_RU_UUWW"" ""ME_LYPG_RU_UUDD"" ""ME_LYPG_RU_UUWW"" ""ME_LYTV_RU_UUDD"" ""ME_LYTV_RU_UUEE"" ""ME_LYTV_RU_UUWW"" ""MT_LMML_RU_UUDD"" ""NL_EHAM_RU_UUEE"" ""NO_ENGM_RU_UUEE"" ""PL_EPWA_RU_UUEE"" ""SE_ESSA_RU_UUEE"" ""SI_LJLJ_RU_UUEE"" ""SK_LZIB_RU_UUEE"" ""SK_LZIB_RU_UUWW"" ""UK_EGKK_RU_UUDD"" ""UK_EGKK_RU_UUEE"" ""UK_EGLL_RU_UUDD"" ""UK_EGLL_RU_UUEE"" ""UK_EGLL_RU_UUWW""]"
PAS,PAS_CRD,Tel Aviv,10808738,9318672,8458429,7616332,7280863,6935109,6803876,6295439,5582882,5485463,5247877,4602505,4324065,4040715,3612799,3169826,3093372,3388813,3545417,3515749,3115398,2960757,3185193,2822879,2612268,"[""AT_LOWW_IL_LLBG"" ""BE_EBBR_IL_LLBG"" ""BE_EBBR_IL_LLSD"" ""BE_EBLG_IL_LLBG"" ""BG_LBBG_IL_LLBG"" ""BG_LBSF_IL_LLBG"" ""BG_LBWN_IL_LLBG"" ""CH_LSGG_IL_LLBG"" ""CH_LSZH_IL_LLBG"" ""CH_LSZM_IL_LLBG"" ""CY_LCLK_IL_LLBG"" ""CY_LCPH_IL_LLBG"" ""DE_EDDB_IL_LLBG"" ""DE_EDDF_IL_LLBG"" ""DE_EDDM_IL_LLBG"" ""DE_EDDT_IL_LLBG"" ""DE_EDSB_IL_LLBG"" ""EL_LG03_IL_LLBG"" ""EL_LGAT_IL_LLBG"" ""EL_LGAV_IL_LLBG"" ""EL_LGIR_IL_LLBG"" ""EL_LGKO_IL_LLBG"" ""EL_LGKR_IL_LLBG"" ""EL_LGMK_IL_LLBG"" ""EL_LGRD_IL_LLBG"" ""EL_LGRP_IL_LLBG"" ""EL_LGRX_IL_LLBG"" ""EL_LGSR_IL_LLBG"" ""EL_LGZA_IL_LLBG"" ""ES_LEBL_IL_LLBG"" ""ES_LEMD_IL_LLBG"" ""ES_LEMG_IL_LLBG"" ""FR_LF90_IL_LLBG"" ""FR_LFLS_IL_LLBG"" ""FR_LFML_IL_LLBG"" ""FR_LFPG_IL_LLBG"" ""FR_LFPO_IL_LLBG"" ""HR_LDZA_IL_LLBG"" ""HU_LHBP_IL_LLBG"" ""HU_LHDC_IL_LLBG"" ""IT_LIMC_IL_LLBG"" ""IT_LIME_IL_LLBG"" ""IT_LIPX_IL_LLBG"" ""IT_LIRF_IL_LLBG"" ""LT_EYVI_IL_LLBG"" ""LV_EVRA_IL_LLBG"" ""ME_LYTV_IL_LLBG"" ""MT_LMML_IL_LLBG"" ""NL_EHAM_IL_LLBG"" ""PL_EPKT_IL_LLBG"" ""PL_EPLB_IL_LLBG"" ""PL_EPWA_IL_LLBG"" ""RO_LRCL_IL_LLBG"" ""RO_LRIA_IL_LLBG"" ""RO_LROP_IL_LLBG"" ""SI_LJLJ_IL_LLBG"" ""SK_LZIB_IL_LLBG"" ""UK_EGGW_IL_LLBG"" ""UK_EGKK_IL_LLBG"" ""UK_EGLL_IL_LLBG"" ""UK_EGSS_IL_LLBG""]"
PAS,PAS_CRD,Doha,6855161,6361134,5330778,4016248,4372370,4062974,3227417,2584226,1816796,1831046,1989555,1216979,887056,594104,256884,220920,228033,215059,160524,156068,102089,,,,,"[""AT_LOWW_QA_OTBD"" ""AT_LOWW_QA_OTHH"" ""BE_EBBR_QA_OTBD"" ""BE_EBBR_QA_OTHH"" ""BG_LBSF_QA_OTHH"" ""CH_LSGG_QA_OTBD"" ""CH_LSGG_QA_OTHH"" ""CH_LSZH_QA_OTBD"" ""CH_LSZH_QA_OTHH"" ""CY_LCLK_QA_OTHH"" ""DE_EDDF_QA_OTBD"" ""DE_EDDM_QA_OTBD"" ""DE_EDDT_QA_OTBD"" ""DK_EKCH_QA_OTBD"" ""EL_LGAV_QA_OTBD"" ""ES_LEBL_QA_OTBD"" ""ES_LEMD_QA_OTBD"" ""FI_EFHK_QA_OTHH"" ""FR_LFPG_QA_OTBD"" ""FR_LFPG_QA_OTHH"" ""HR_LDZA_QA_OTBD"" ""HR_LDZA_QA_OTHH"" ""HU_LHBP_QA_OTBD"" ""HU_LHBP_QA_OTHH"" ""IT_LIMC_QA_OTBD"" ""IT_LIMC_QA_OTHH"" ""IT_LIPZ_QA_OTBD"" ""IT_LIPZ_QA_OTHH"" ""IT_LIRF_QA_OTBD"" ""IT_LIRF_QA_OTHH"" ""IT_LIRP_QA_OTHH"" ""NL_EHAM_QA_OTHH"" ""NO_ENGM_QA_OTBD"" ""NO_ENGM_QA_OTHH"" ""PL_EPWA_QA_OTBD"" ""PL_EPWA_QA_OTHH"" ""RO_LROP_QA_OTHH"" ""SE_ESSA_QA_OTBD"" ""SE_ESSA_QA_OTHH"" ""UK_EGBB_QA_OTHH"" ""UK_EGCC_QA_OTBD"" ""UK_EGCC_QA_OTHH"" ""UK_EGKK_QA_OTBD"" ""UK_EGLL_QA_OTBD"" ""UK_EGLL_QA_OTHH"" ""UK_EGPH_QA_OTHH""]"
PAS,PAS_CRD,Toronto,6257035,5689875,5016340,4536972,4031751,4344385,4146059,3707421,3457288,3821547,3775727,3697093,3650420,3265706,2945149,3231588,3102176,3010875,2911557,2987841,3048722,2790704,2580190,2394737,2344776,"[""AT_LOWW_CA_CYTZ"" ""AT_LOWW_CA_CYYZ"" ""BE_EBBR_CA_CYYZ"" ""CH_LSGG_CA_CYYZ"" ""CH_LSZH_CA_CYYZ"" ""DE_EDDB_CA_CYTZ"" ""DE_EDDF_CA_CYTZ"" ""DE_EDDF_CA_CYYZ"" ""DE_EDDM_CA_CYTZ"" ""DE_EDDM_CA_CYYZ"" ""DK_EKCH_CA_CYYZ"" ""EL_LGAV_CA_CYYZ"" ""ES_LEBL_CA_CYYZ"" ""ES_LEMD_CA_CYYZ"" ""FR_LF90_CA_CYYZ"" ""FR_LFPG_CA_CYYZ"" ""HR_LDZA_CA_CYYZ"" ""HU_LHBP_CA_CYYZ"" ""IE_EIDW_CA_CYYZ"" ""IE_EINN_CA_CYYZ"" ""IS_BIKF_CA_CYYZ"" ""IT_LIMC_CA_CYYZ"" ""IT_LIPZ_CA_CYYZ"" ""IT_LIRA_CA_CYYZ"" ""IT_LIRF_CA_CYYZ"" ""NL_EHAM_CA_CYYZ"" ""PL_EPWA_CA_CYYZ"" ""PT_LPPD_CA_CYYZ"" ""PT_LPPR_CA_CYYZ"" ""PT_LPPT_CA_CYYZ"" ""UK_EGAA_CA_CYYZ"" ""UK_EGBB_CA_CYYZ"" ""UK_EGCC_CA_CYYZ"" ""UK_EGKK_CA_CYYZ"" ""UK_EGLL_CA_CYYZ"" ""UK_EGPF_CA_CYYZ""]"
PAS,PAS_CRD,Abu Dhabi,5098982,5172400,4632040,3870153,3305283,2833121,2208291,1574038,1301106,1123051,732449,587832,546137,324250,219260,248722,206416,179831,170147,170369,173306,164505,145931,165542,143785,"[""AT_LOWW_AE_OMAA"" ""BE_EBBR_AE_OMAA"" ""CH_LSGG_AE_OMAA"" ""CH_LSZH_AE_OMAA"" ""DE_EDDF_AE_OMAA"" ""DE_EDDL_AE_OMAA"" ""DE_EDDM_AE_OMAA"" ""DE_EDDT_AE_OMAA"" ""EL_LGAV_AE_OMAA"" ""ES_LEMD_AE_OMAA"" ""FR_LFPG_AE_OMAA"" ""IE_EIDW_AE_OMAA"" ""IT_LIMC_AE_OMAA"" ""IT_LIPZ_AE_OMAA"" ""IT_LIRF_AE_OMAA"" ""NL_EHAM_AE_OMAA"" ""UK_EGCC_AE_OMAA"" ""UK_EGKK_AE_OMAA"" ""UK_EGLL_AE_OMAA"" ""UK_EGPH_AE_OMAA""]"
PAS,PAS_CRD,Hong Kong,4777292,4323930,4044944,3732807,3657456,3670163,3764578,3603690,3745910,3673118,3708022,3262001,2823395,2716732,2041824,2544196,2130937,2213950,2147089,2259819,2304391,2324352,2092255,1980854,874934,"[""AT_LOWW_HK_VHHH"" ""CH_LSZH_HK_VHHH"" ""DE_EDDF_HK_VHHH"" ""DE_EDDL_HK_VHHH"" ""DE_EDDM_HK_VHHH"" ""ES_LEMD_HK_VHHH"" ""FI_EFHK_HK_VHHH"" ""FR_LF90_HK_VHHH"" ""FR_LFPG_HK_VHHH"" ""IT_LIMC_HK_VHHH"" ""IT_LIRF_HK_VHHH"" ""NL_EHAM_HK_VHHH"" ""SE_ESSA_HK_VHHH"" ""UK_EGCC_HK_VHHH"" ""UK_EGKK_HK_VHHH"" ""UK_EGLL_HK_VHHH""]"
PAS,PAS_CRD,Chicago,4692948,4487158,4482599,4670922,4506711,4253836,4327146,4540241,4658287,5112415,5391627,5149457,4991974,4818266,3726390,3803323,3782987,3913594,3720939,3563968,2460390,2224837,2110405,1826179,1839608,"[""AT_LOWW_US_KORD"" ""BE_EBBR_US_KORD"" ""CH_LSZH_US_KORD"" ""DE_EDDF_US_KORD"" ""DE_EDDL_US_KORD"" ""DE_EDDM_US_KORD"" ""DE_EDDT_US_KORD"" ""DK_EKCH_US_KORD"" ""ES_LEMD_US_KORD"" ""FR_LF90_US_KORD"" ""FR_LFPG_US_KORD"" ""FR_LFPO_US_KORD"" ""IE_EIDW_US_KORD"" ""IE_EINN_US_KORD"" ""IS_BIKF_US_KORD"" ""IT_LIMC_US_KORD"" ""IT_LIRF_US_KORD"" ""NL_EHAM_US_KORD"" ""PL_EPKK_US_KORD"" ""PL_EPWA_US_KORD"" ""SE_ESSA_US_KORD"" ""UK_EGBB_US_KORD"" ""UK_EGCC_US_KORD"" ""UK_EGLL_US_KORD"" ""UK_EGPF_US_KORD"" ""UK_EGSS_US_KORD""]"
PAS,PAS_CRD,Bangkok,4519855,4432896,4137491,4120372,4247595,4113507,4129824,4066480,3892938,4031292,4280028,3801514,3741583,3715998,2775607,2940938,2407447,2059140,2011219,2146292,2028930,2042968,1973567,1996535,1847091,"[""AT_LOWW_TH_VTBD"" ""AT_LOWW_TH_VTBS"" ""BE_EBBR_TH_VTBS"" ""CH_LSZH_TH_VTBD"" ""CH_LSZH_TH_VTBS"" ""DE_EDDF_TH_VTBD"" ""DE_EDDF_TH_VTBS"" ""DE_EDDL_TH_VTBD"" ""DE_EDDL_TH_VTBS"" ""DE_EDDM_TH_VTBD"" ""DE_EDDM_TH_VTBS"" ""DE_EDDT_TH_VTBD"" ""DE_EDDT_TH_VTBS"" ""DK_EKCH_TH_VTBD"" ""DK_EKCH_TH_VTBS"" ""EL_LGAT_TH_VTBD"" ""EL_LGAV_TH_VTBD"" ""ES_LEMD_TH_VTBD"" ""ES_LEMD_TH_VTBS"" ""FI_EFHK_TH_VTBD"" ""FI_EFHK_TH_VTBS"" ""FR_FMEE_TH_VTBD"" ""FR_FMEE_TH_VTBS"" ""FR_LF90_TH_VTBD"" ""FR_LFPG_TH_VTBD"" ""FR_LFPG_TH_VTBS"" ""FR_LFPO_TH_VTBD"" ""IT_LIMC_TH_VTBD"" ""IT_LIMC_TH_VTBS"" ""IT_LIRF_TH_VTBD"" ""IT_LIRF_TH_VTBS"" ""NL_EHAM_TH_VTBD"" ""NL_EHAM_TH_VTBS"" ""NO_ENGM_TH_VTBS"" ""SE_ESSA_TH_VTBD"" ""SE_ESSA_TH_VTBS"" ""UK_EGLL_TH_VTBD"" ""UK_EGLL_TH_VTBS""]"
PAS,PAS_CRD,Los Angeles,4459533,3779296,3242885,2875345,2826918,2732564,2871139,2537321,2570637,3043006,2937329,2790751,2731640,2632419,2368532,2348762,2614907,3058984,2947508,2638694,2597175,2417979,2380860,2183411,2084741,"[""AT_LOWW_US_KLAX"" ""BE_EBBR_US_KLAX"" ""CH_LSZH_US_KLAX"" ""DE_EDDF_US_KLAX"" ""DE_EDDL_US_KLAX"" ""DE_EDDM_US_KLAX"" ""DK_EKCH_US_KLAX"" ""ES_LEMD_US_KLAX"" ""FR_LF90_US_KLAX"" ""FR_LFPG_US_KLAX"" ""FR_LFPO_US_KLAX"" ""IE_EIDW_US_KLAX"" ""IE_EINN_US_KLAX"" ""IS_BIKF_US_KLAX"" ""IT_LIMC_US_KLAX"" ""IT_LIRF_US_KLAX"" ""NL_EHAM_US_KLAX"" ""SE_ESSA_US_KLAX"" ""UK_EGKK_US_KLAX"" ""UK_EGLL_US_KLAX""]"
PAS,PAS_CRD,Beijing,4111406,3625864,3537358,3030508,2847237,2813817,2660155,2395493,2182917,2305951,2487456,2186840,1855445,1610732,858454,1241468,933148,781218,645920,682125,557675,434870,363719,336505,238950,"[""AT_LOWW_CN_ZBAA"" ""BE_EBBR_CN_ZBAA"" ""CH_LSZH_CN_ZBAA"" ""DE_EDDF_CN_ZBAA"" ""DE_EDDL_CN_ZBAA"" ""DE_EDDM_CN_ZBAA"" ""DE_EDDT_CN_ZBAA"" ""DK_EKCH_CN_ZBAA"" ""ES_LEBL_CN_ZBAA"" ""ES_LEMD_CN_ZBAA"" ""FI_EFHK_CN_ZBAA"" ""FR_LF90_CN_ZBAA"" ""FR_LFPG_CN_ZBAA"" ""IT_LIMC_CN_ZBAA"" ""IT_LIRF_CN_ZBAA"" ""NL_EHAM_CN_ZBAA"" ""PL_EPWA_CN_ZBAA"" ""SE_ESSA_CN_ZBAA"" ""UK_EGCC_CN_ZBAA"" ""UK_EGLL_CN_ZBAA""]"
PAS,PAS_CRD,Tokyo,3986044,3783823,3923404,3862121,3836406,3815778,3319729,3584001,3460080,3941945,4221550,4167314,4176294,4172844,3535995,3882386,3314531,3358074,3257903,3308864,2643597,2509329,2491769,2480145,2116464,"[""AT_LOWW_JP_RJAA"" ""BE_EBBR_JP_RJAA"" ""BE_EBBR_JP_RJTT"" ""CH_LSZH_JP_RJAA"" ""DE_EDDF_JP_RJAA"" ""DE_EDDF_JP_RJTT"" ""DE_EDDL_JP_RJAA"" ""DE_EDDM_JP_RJAA"" ""DE_EDDM_JP_RJTT"" ""DK_EKCH_JP_RJAA"" ""EL_LGAT_JP_RJTT"" ""ES_LEMD_JP_RJAA"" ""FI_EFHK_JP_RJAA"" ""FR_LF90_JP_RJTT"" ""FR_LFPG_JP_RJAA"" ""FR_LFPG_JP_RJTT"" ""IT_LIMC_JP_RJAA"" ""IT_LIRF_JP_RJAA"" ""NL_EHAM_JP_RJAA"" ""UK_EGLL_JP_RJAA"" ""UK_EGLL_JP_RJTT""]"
