unit,tra_meas,to,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,codes
PAS,PAS_CRD,Shanghai,3738925,3340847,3065962,2900357,2787345,2639852,2402066,1540251,1344053,1374565,1383114,1323517,1101819,712883,322580,278984,202255,148426,107547,,,,,,,"[""AT_LOWW_CN_ZSPD"" ""CH_LSZH_CN_ZSPD"" ""DE_EDDF_CN_ZSPD"" ""DE_EDDM_CN_ZSPD"" ""DK_EKCH_CN_ZSPD"" ""ES_LEMD_CN_ZSPD"" ""FI_EFHK_CN_ZSPD"" ""FR_LF90_CN_ZSSS"" ""FR_LFPG_CN_ZSPD"" ""FR_LFPG_CN_ZSSS"" ""IT_LIMC_CN_ZSPD"" ""IT_LIRF_CN_ZSPD"" ""NL_EHAM_CN_ZSPD"" ""NL_EHAM_CN_ZSSS"" ""UK_EGLL_CN_ZSPD""]"
PAS,PAS_CRD,Atlanta,3722614,3594334,3416170,3178037,3296105,3109263,3131999,3071765,2961731,3112179,3235293,3112696,3020894,2884000,2484458,2837388,2413405,2587600,2635402,2372207,2019472,1921163,2019736,1956228,1743881,"[""BE_EBBR_US_KATL"" ""CH_LSZH_US_KATL"" ""DE_EDDF_US_KATL"" ""DE_EDDH_US_KATL"" ""DE_EDDL_US_KATL"" ""DE_EDDM_US_KATL"" ""DE_EDDS_US_KATL"" ""DK_EKCH_US_KATL"" ""ES_LEBL_US_KATL"" ""ES_LEMD_US_KATL"" ""FR_LF90_US_KATL"" ""FR_LFMN_US_KATL"" ""FR_LFPG_US_KATL"" ""FR_LFPO_US_KATL"" ""IE_EIDW_US_KATL"" ""IE_EINN_US_KATL"" ""IT_LIMC_US_KATL"" ""IT_LIRF_US_KATL"" ""NL_EHAM_US_KATL"" ""UK_EGCC_US_KATL"" ""UK_EGKK_US_KATL"" ""UK_EGLL_US_KATL"" ""UK_EGPH_US_KATL""]"
PAS,PAS_CRD,Kiev,3714829,3240537,2399881,2091166,2908085,2183546,1877482,1501009,1128119,1500473,1342779,939872,771479,602068,544389,505835,209095,117129,103911,125909,130468,124616,103447,89203,,"[""AT_LOWW_UA_UKBB"" ""BE_EBBR_UA_UKBB"" ""BG_LBBG_UA_UKBB"" ""CH_LSZH_UA_UKBB"" ""CY_LCLK_UA_UKBB"" ""DE_EDDF_UA_UKBB"" ""DE_EDDF_UA_UKKK"" ""DE_EDDL_UA_UKBB"" ""DE_EDDM_UA_UKBB"" ""DE_EDDM_UA_UKKK"" ""DE_EDDN_UA_UKKK"" ""DE_EDDT_UA_UKBB"" ""DE_EDHL_UA_UKBB"" ""DE_EDHL_UA_UKKK"" ""DE_EDJA_UA_UKBB"" ""DE_EDJA_UA_UKKK"" ""DE_EDLW_UA_UKBB"" ""DE_EDLW_UA_UKKK"" ""EE_EETN_UA_UKBB"" ""EL_LGAV_UA_UKBB"" ""EL_LGIR_UA_UKBB"" ""EL_LGTS_UA_UKBB"" ""ES_LEBL_UA_UKBB"" ""ES_LEGE_UA_UKKK"" ""FR_LFPG_UA_UKBB"" ""FR_LFPG_UA_UKKK"" ""HR_LDSP_UA_UKBB"" ""HU_LHBP_UA_UKBB"" ""HU_LHBP_UA_UKKK"" ""IT_LIMC_UA_UKBB"" ""IT_LIME_UA_UKKK"" ""IT_LIPH_UA_UKBB"" ""IT_LIPH_UA_UKKK"" ""IT_LIRF_UA_UKBB"" ""LT_EYVI_UA_UKBB"" ""LV_EVRA_UA_UKBB"" ""ME_LYTV_UA_UKKK"" ""NL_EHAM_UA_UKBB"" ""PL_EPKT_UA_UKBB"" ""PL_EPKT_UA_UKKK"" ""PL_EPWA_UA_UKBB"" ""PL_EPWR_UA_UKKK"" ""SE_ESSA_UA_UKBB"" ""SK_LZIB_UA_UKKK"" ""UK_EGKK_UA_UKBB"" ""UK_EGLL_UA_UKBB""]"
PAS,PAS_CRD,Singapore,3673198,3493692,3541310,3569425,3621479,3594579,3290378,3155611,3165534,3393259,3193134,3305886,2962572,2891335,2646852,2945886,2436004,2320521,2385301,2137923,2059646,1827219,1434703,1388711,1308430,"[""CH_LSZH_SG_WSSS"" ""DE_EDDB_SG_WSSS"" ""DE_EDDF_SG_WSSS"" ""DE_EDDM_SG_WSSS"" ""DK_EKCH_SG_WSSS"" ""EL_LGAT_SG_WSSS"" ""ES_LEBL_SG_WSSS"" ""FI_EFHK_SG_WSSS"" ""FR_LF90_SG_WSSS"" ""FR_LFPG_SG_WSSS"" ""IT_LIMC_SG_WSSS"" ""IT_LIRF_SG_WSSS"" ""NL_EHAM_SG_WSSS"" ""UK_EGCC_SG_WSSS"" ""UK_EGLL_SG_WSSS""]"
PAS,PAS_CRD,Washington,3639842,3466684,3463002,3498101,3545619,3516233,3411622,3349081,3133085,3361006,3294532,3253850,3262032,3178660,2707960,3092325,2602827,2879942,2070195,2046039,1825800,1754377,1609181,1643865,1506566,"[""AT_LOWW_US_KIAD"" ""BE_EBBR_US_KIAD"" ""CH_LSGG_US_KIAD"" ""CH_LSZH_US_KIAD"" ""DE_EDDF_US_KDCA"" ""DE_EDDF_US_KIAD"" ""DE_EDDL_US_KIAD"" ""DE_EDDM_US_KDCA"" ""DE_EDDM_US_KIAD"" ""DK_EKCH_US_KIAD"" ""ES_LEMD_US_KIAD"" ""FR_LF90_US_KIAD"" ""FR_LFPG_US_KIAD"" ""IE_EIDW_US_KIAD"" ""IS_BIKF_US_KIAD"" ""IT_LIMC_US_KDCA"" ""IT_LIMC_US_KIAD"" ""IT_LIRF_US_KDCA"" ""IT_LIRF_US_KIAD"" ""NL_EHAM_US_KIAD"" ""UK_EGCC_US_KIAD"" ""UK_EGLL_US_KIAD"" ""UK_EGPF_US_KIAD""]"
PAS,PAS_CRD,Casablanca,3616653,3325721,3392136,3535210,3534887,3390011,3704120,3726486,3136130,2925045,2672008,2127826,1837079,1668616,1437904,1537757,1470091,1276750,1199685,1335361,1112492,939448,577634,769901,722697,"[""BE_EBBR_MA_GMMN"" ""BE_EBCI_MA_GMMN"" ""CH_LSGG_MA_GMMN"" ""CH_LSZM_MA_GMMN"" ""DE_EDDF_MA_GMMC"" ""DE_EDDF_MA_GMMN"" ""ES_LEBL_MA_GMMN"" ""ES_LEMD_MA_GMMN"" ""FR_LF90_MA_GMMC"" ""FR_LFBD_MA_GMMC"" ""FR_LFBD_MA_GMMN"" ""FR_LFBO_MA_GMMC"" ""FR_LFBO_MA_GMMN"" ""FR_LFJL_MA_GMMN"" ""FR_LFLL_MA_GMMC"" ""FR_LFLL_MA_GMMN"" ""FR_LFML_MA_GMMC"" ""FR_LFML_MA_GMMN"" ""FR_LFMN_MA_GMMC"" ""FR_LFMN_MA_GMMN"" ""FR_LFMT_MA_GMMN"" ""FR_LFPG_MA_GMMC"" ""FR_LFPG_MA_GMMN"" ""FR_LFPO_MA_GMMC"" ""FR_LFPO_MA_GMMN"" ""FR_LFQQ_MA_GMMN"" ""FR_LFRS_MA_GMMN"" ""FR_LFST_MA_GMMC"" ""FR_LFST_MA_GMMN"" ""IT_LIMC_MA_GMMN"" ""IT_LIME_MA_GMMN"" ""IT_LIML_MA_GMMN"" ""IT_LIMZ_MA_GMMN"" ""IT_LIPE_MA_GMMN"" ""IT_LIPH_MA_GMMN"" ""IT_LIPZ_MA_GMMN"" ""IT_LIRF_MA_GMMN"" ""NL_EHAM_MA_GMMN"" ""PT_LPPT_MA_GMMN"" ""UK_EGLL_MA_GMMN""]"
PAS,PAS_CRD,Boston,3546567,3329332,3029337,2830903,2851873,2849894,2887017,2621503,2558519,2606344,2587777,2679807,2620744,2521843,2019012,2275810,2261635,2443804,2444226,2098180,1954384,1936731,1997129,2055648,1953313,"[""BE_EBBR_US_KBOS"" ""CH_LSZH_US_KBOS"" ""DE_EDDF_US_KBOS"" ""DE_EDDM_US_KBOS"" ""ES_LEMD_US_KBOS"" ""FR_LF90_US_KBOS"" ""FR_LFPG_US_KBOS"" ""IE_EIDW_US_KBOS"" ""IE_EINN_US_KBOS"" ""IS_BIKF_US_KBOS"" ""IT_LIMC_US_KBOS"" ""IT_LIRF_US_KBOS"" ""NL_EHAM_US_KBOS"" ""PT_LPLA_US_KBOS"" ""PT_LPPD_US_KBOS"" ""PT_LPPT_US_KBOS"" ""UK_EGCC_US_KBOS"" ""UK_EGKK_US_KBOS"" ""UK_EGLL_US_KBOS"" ""UK_EGPF_US_KBOS""]"
PAS,PAS_CRD,Miami,3439407,3365202,3331171,3179706,2976485,2803523,2689204,2319462,2298882,2407282,2224279,2282870,2337967,2325824,2350519,2307409,2150386,2128028,2087054,2079365,1818505,1712817,1498813,1426094,1569803,"[""AT_LOWW_US_KMIA"" ""CH_LSZH_US_KMIA"" ""DE_EDDF_US_KMIA"" ""DE_EDDL_US_KMIA"" ""DE_EDDT_US_KMIA"" ""ES_LEBL_US_KMIA"" ""ES_LEMD_US_KMIA"" ""FR_LF90_US_KMIA"" ""FR_LFPG_US_KMIA"" ""FR_LFPO_US_KMIA"" ""FR_TFFF_US_KMIA"" ""FR_TFFR_US_KMIA"" ""IT_LIMC_US_KMIA"" ""IT_LIRF_US_KMIA"" ""NL_EHAM_US_KMIA"" ""UK_EGKK_US_KMIA"" ""UK_EGLL_US_KMIA""]"
PAS,PAS_CRD,São Paulo,3351225,3278881,3317947,3260881,3016215,3100135,3021255,2865848,2655416,2703252,2330004,2139430,2150544,1777654,1669645,1594254,1455861,1199110,914525,996657,582999,702473,559647,288167,245346,"[""CH_LSZH_BR_SBGR"" ""DE_EDDF_BR_SBGR"" ""DE_EDDM_BR_SBGR"" ""ES_LEBL_BR_SBGR"" ""ES_LEMD_BR_SBGR"" ""ES_LEMD_BR_SBSP"" ""FR_LF90_BR_SBSP"" ""FR_LFPG_BR_SBGR"" ""FR_LFPG_BR_SBSP"" ""IT_LIMC_BR_SBGR"" ""IT_LIRF_BR_SBGR"" ""NL_EHAM_BR_SBGR"" ""PT_LPPR_BR_SBGR"" ""PT_LPPT_BR_SBGR"" ""UK_EGKK_BR_SBGR"" ""UK_EGLL_BR_SBGR""]"
PAS,PAS_CRD,San Francisco,3283809,3155687,3064465,2854139,2725923,2503358,2399396,2244875,2142560,2373524,2418075,2300102,2352250,2260629,2115925,2009227,2159661,2233652,2300510,1934720,1973130,1559476,1450400,1336025,1202025,"[""BE_EBBR_US_KSFO"" ""CH_LSZH_US_KSFO"" ""DE_EDDF_US_KSFO"" ""DE_EDDM_US_KSFO"" ""DK_EKCH_US_KSFO"" ""ES_LEMD_US_KSFO"" ""FR_LF90_US_KSFO"" ""FR_LFPG_US_KSFO"" ""IE_EIDW_US_KSFO"" ""IS_BIKF_US_KSFO"" ""IT_LIMC_US_KSFO"" ""NL_EHAM_US_KSFO"" ""UK_EGLL_US_KSFO""]"
PAS,PAS_CRD,Montréal,3184869,2765556,2505434,2470345,2407360,2210262,2248606,2252767,2177003,2142159,2249462,1976173,1831315,1681470,1527675,1620473,1476526,1585593,1573270,1251253,1150671,1297930,1242223,1190268,1142100,"[""BE_EBBR_CA_CYUL"" ""CH_LSZH_CA_CYMX"" ""CH_LSZH_CA_CYUL"" ""DE_EDDF_CA_CYUL"" ""DE_EDDM_CA_CYUL"" ""EL_LGAV_CA_CYUL"" ""ES_LEBL_CA_CYUL"" ""ES_LEMD_CA_CYMX"" ""FR_LF90_CA_CYMX"" ""FR_LFBD_CA_CYMX"" ""FR_LFBO_CA_CYMX"" ""FR_LFLL_CA_CYMX"" ""FR_LFLL_CA_CYUL"" ""FR_LFML_CA_CYUL"" ""FR_LFMN_CA_CYMX"" ""FR_LFPG_CA_CYMX"" ""FR_LFPG_CA_CYUL"" ""FR_LFPO_CA_CYMX"" ""FR_LFPO_CA_CYUL"" ""FR_LFRS_CA_CYMX"" ""FR_TFFF_CA_CYMX"" ""FR_TFFF_CA_CYUL"" ""FR_TFFR_CA_CYMX"" ""FR_TFFR_CA_CYUL"" ""IS_BIKF_CA_CYUL"" ""IT_LIRF_CA_CYMX"" ""IT_LIRF_CA_CYUL"" ""NL_EHAM_CA_CYMX"" ""NL_EHAM_CA_CYUL"" ""UK_EGLL_CA_CYMX"" ""UK_EGLL_CA_CYUL""]"
PAS,PAS_CRD,Seoul,3093802,2762585,2469114,2036942,1820515,1708511,1649772,1540844,1401156,1586483,1504276,1468427,1369287,1322092,975520,941579,763848,838509,715517,561748,977416,922810,732267,562386,417798,"[""AT_LOWW_KR_RKSI"" ""CH_LSZH_KR_RKSS"" ""DE_EDDF_KR_RKSI"" ""DE_EDDF_KR_RKSS"" ""DE_EDDM_KR_RKSI"" ""DE_EDDM_KR_RKSS"" ""ES_LEMD_KR_RKSI"" ""FI_EFHK_KR_RKSI"" ""FR_LF90_KR_RKSS"" ""FR_LFPG_KR_RKSI"" ""FR_LFPG_KR_RKSS"" ""IT_LIRF_KR_RKSI"" ""IT_LIRF_KR_RKSS"" ""NL_EHAM_KR_RKSI"" ""NL_EHAM_KR_RKSS"" ""PL_EPWA_KR_RKSI"" ""UK_EGLL_KR_RKSI"" ""UK_EGLL_KR_RKSS""]"
PAS,PAS_CRD,Algiers,3045367,3063527,2745013,2537501,2312641,2054661,1928066,1746743,1712229,1458942,1192797,1136983,1111327,1019109,947438,942156,861780,766076,618075,494040,409897,403708,429946,681443,1124791,"[""DE_EDDF_DZ_DAAG"" ""ES_LEAL_DZ_DAAG"" ""ES_LEBL_DZ_DAAG"" ""ES_LEMD_DZ_DAAG"" ""FR_LF90_DZ_DAAG"" ""FR_LFBO_DZ_DAAG"" ""FR_LFJL_DZ_DAAG"" ""FR_LFLL_DZ_DAAG"" ""FR_LFML_DZ_DAAG"" ""FR_LFOK_DZ_DAAG"" ""FR_LFPG_DZ_DAAG"" ""FR_LFPO_DZ_DAAG"" ""FR_LFQQ_DZ_DAAG"" ""IT_LIRF_DZ_DAAG"" ""UK_EGLL_DZ_DAAG""]"
PAS,PAS_CRD,Marrakech,2887567,2541998,2614561,2934135,2811143,2337474,2280286,2346551,2158338,2452528,2385321,1962285,1407272,910219,650329,629002,778656,727994,638392,494195,387172,392931,284874,407571,420054,"[""BE_EBBR_MA_GMMX"" ""BE_EBCI_MA_GMMX"" ""CH_LSGG_MA_GMMX"" ""CH_LSZM_MA_GMMX"" ""DE_EDFH_MA_GMMX"" ""DE_EDLV_MA_GMMX"" ""ES_LEBL_MA_GMMX"" ""ES_LEGE_MA_GMMX"" ""ES_LEMD_MA_GMMX"" ""ES_LERS_MA_GMMX"" ""ES_LEVC_MA_GMMX"" ""ES_LEXJ_MA_GMMX"" ""FR_LF90_MA_GMMX"" ""FR_LFBD_MA_GMMX"" ""FR_LFBE_MA_GMMX"" ""FR_LFBO_MA_GMMX"" ""FR_LFJL_MA_GMMX"" ""FR_LFLL_MA_GMMX"" ""FR_LFML_MA_GMMX"" ""FR_LFMP_MA_GMMX"" ""FR_LFMT_MA_GMMX"" ""FR_LFOB_MA_GMMX"" ""FR_LFOK_MA_GMMX"" ""FR_LFOT_MA_GMMX"" ""FR_LFPG_MA_GMMX"" ""FR_LFPO_MA_GMMX"" ""FR_LFQQ_MA_GMMX"" ""FR_LFRG_MA_GMMX"" ""FR_LFRS_MA_GMMX"" ""FR_LFSB_MA_GMMX"" ""IT_LIMC_MA_GMMX"" ""IT_LIME_MA_GMMX"" ""IT_LIMZ_MA_GMMX"" ""IT_LIPE_MA_GMMX"" ""IT_LIRA_MA_GMMX"" ""IT_LIRP_MA_GMMX"" ""NL_EHAM_MA_GMMX"" ""NL_EHEH_MA_GMMX"" ""PT_LPPT_MA_GMMX"" ""UK_EGCC_MA_GMMX"" ""UK_EGGW_MA_GMMX"" ""UK_EGKK_MA_GMMX"" ""UK_EGLL_MA_GMMX"" ""UK_EGSS_MA_GMMX""]"
PAS,PAS_CRD,New Delhi,2811527,2559647,2693783,2546453,2584811,2538086,2594940,2307214,1895776,1873360,1658383,1553760,1231351,923019,1018875,936886,817469,682620,798951,798992,766181,761160,717865,631128,470508,"[""AT_LOWW_IN_VIDP"" ""BE_EBBR_IN_VIDP"" ""CH_LSZH_IN_VIDP"" ""DE_EDDF_IN_VIDP"" ""DE_EDDM_IN_VIDP"" ""FI_EFHK_IN_VIDP"" ""FR_LFPG_IN_VIDP"" ""IT_LIMC_IN_VIDP"" ""IT_LIRF_IN_VIDP"" ""NL_EHAM_IN_VIDP"" ""UK_EGBB_IN_VIDP"" ""UK_EGKK_IN_VIDP"" ""UK_EGLL_IN_VIDP""]"
PAS,PAS_CRD,Belgrade,2677633,2650389,2005966,1940676,1486971,1466013,1333064,1113920,968225,952768,935588,869041,823961,685188,473425,339309,84520,,,239009,258682,247498,187344,,,"[""AT_LOWW_RS_LYBE"" ""BG_LBSF_RS_LYBE"" ""CH_LSZH_RS_LYBE"" ""DE_EDDF_RS_LYBE"" ""DE_EDDL_RS_LYBE"" ""DE_EDDM_RS_LYBE"" ""DE_EDDS_RS_LYBE"" ""DE_EDJA_RS_LYBE"" ""DE_EDLW_RS_LYBE"" ""DE_EDNY_RS_LYBE"" ""DE_EDSB_RS_LYBE"" ""EL_LGAV_RS_LYBE"" ""EL_LGTS_RS_LYBE"" ""FR_LFOB_RS_LYBE"" ""FR_LFPG_RS_LYBE"" ""FR_LFSB_RS_LYBE"" ""HR_LDSP_RS_LYBE"" ""HR_LDZA_RS_LYBE"" ""IT_LIMC_RS_LYBE"" ""IT_LIME_RS_LYBE"" ""IT_LIRF_RS_LYBE"" ""IT_LIVT_RS_LYBE"" ""ME_LYPG_RS_LYBE"" ""ME_LYTV_RS_LYBE"" ""NL_EHAM_RS_LYBE"" ""NL_EHEH_RS_LYBE"" ""SE_ESGP_RS_LYBE"" ""SE_ESKN_RS_LYBE"" ""SE_ESMS_RS_LYBE"" ""SI_LJLJ_RS_LYBE"" ""UK_EGLL_RS_LYBE""]"
PAS,PAS_CRD,St. Petersburg,2565979,2200835,1758227,2800298,2889026,2413378,2067413,1568647,1215814,1077035,961085,840522,705379,728990,656067,547144,411247,450547,313336,394127,315270,174136,32238,29651,128671,"[""AT_LOWW_RU_ULLI"" ""BG_LBBG_RU_ULLI"" ""BG_LBWN_RU_ULLI"" ""CH_LSZH_RU_ULLI"" ""CY_LCLK_RU_ULLI"" ""DE_EDDB_RU_ULLI"" ""DE_EDDF_RU_ULLI"" ""DE_EDDL_RU_ULLI"" ""DE_EDDM_RU_ULLI"" ""DE_EDDT_RU_ULLI"" ""DE_EDVV_RU_ULLI"" ""EE_EETN_RU_ULLI"" ""EL_LGIR_RU_ULLI"" ""EL_LGKO_RU_ULLI"" ""EL_LGKR_RU_ULLI"" ""EL_LGRP_RU_ULLI"" ""EL_LGSA_RU_ULLI"" ""EL_LGTS_RU_ULLI"" ""EL_LGZA_RU_ULLI"" ""ES_LEBL_RU_ULLI"" ""FI_EFHK_RU_ULLI"" ""FR_LF90_RU_ULLI"" ""FR_LFPG_RU_ULLI"" ""IT_LIMC_RU_ULLI"" ""IT_LIPR_RU_ULLI"" ""IT_LIRF_RU_ULLI"" ""LV_EVRA_RU_ULLI"" ""ME_LYTV_RU_ULLI"" ""NL_EHAM_RU_ULLI"" ""SE_ESSA_RU_ULLI"" ""UK_EGLL_RU_ULLI""]"
PAS,PAS_CRD,Hurghada,2509568,1009635,2234702,2014439,1534693,2689226,2139997,3320819,2900900,2930553,2361061,1889955,2036645,1929955,964184,949663,819589,1007196,737549,182531,467392,429486,150838,116711,81697,"[""AT_LOWG_EG_HEGN"" ""AT_LOWL_EG_HEGN"" ""AT_LOWS_EG_HEGN"" ""AT_LOWW_EG_HEGN"" ""BE_EBBR_EG_HEGN"" ""CH_LSZH_EG_HEGN"" ""CH_LSZM_EG_HEGN"" ""DE_EDDB_EG_HEGN"" ""DE_EDDC_EG_HEGN"" ""DE_EDDE_EG_HEGN"" ""DE_EDDF_EG_HEGN"" ""DE_EDDH_EG_HEGN"" ""DE_EDDK_EG_HEGN"" ""DE_EDDL_EG_HEGN"" ""DE_EDDM_EG_HEGN"" ""DE_EDDN_EG_HEGN"" ""DE_EDDP_EG_HEGN"" ""DE_EDDS_EG_HEGN"" ""DE_EDDV_EG_HEGN"" ""DE_EDLP_EG_HEGN"" ""DE_ETNL_EG_HEGN"" ""DK_EKBI_EG_HEGN"" ""EE_EETN_EG_HEGN"" ""FI_EFHK_EG_HEGN"" ""FR_LFPG_EG_HEGN"" ""IT_LIMC_EG_HEGN"" ""IT_LIME_EG_HEGN"" ""IT_LIPE_EG_HEGN"" ""IT_LIPN_EG_HEGN"" ""IT_LIPX_EG_HEGN"" ""LT_EYVI_EG_HEGN"" ""LU_ELLX_EG_HEGN"" ""LV_EVRA_EG_HEGN"" ""NL_EHAM_EG_HEGN"" ""PL_EPKT_EG_HEGN"" ""PL_EPPO_EG_HEGN"" ""PL_EPWA_EG_HEGN"" ""PL_EPWR_EG_HEGN"" ""SE_ESGG_EG_HEGN"" ""SE_ESMS_EG_HEGN"" ""SE_ESSA_EG_HEGN"" ""SI_LJLJ_EG_HEGN"" ""SK_LZIB_EG_HEGN"" ""SK_LZKZ_EG_HEGN"" ""UK_EGCC_EG_HEGN"" ""UK_EGKK_EG_HEGN""]"
PAS,PAS_CRD,Johannesburg,2252963,2244779,2214276,2304110,2244323,2174450,2238748,2244377,2210283,2286277,2352413,2434348,2363706,2258933,2247244,2310562,1810002,1729377,1612724,1377920,1320971,1247241,1097147,821168,763222,"[""BE_EBBR_ZA_FAJS"" ""CH_LSZH_ZA_FAJS"" ""CH_LSZH_ZA_FAOR"" ""DE_EDDF_ZA_FAJS"" ""DE_EDDF_ZA_FAOR"" ""DE_EDDM_ZA_FAJS"" ""DE_EDDM_ZA_FAOR"" ""EL_LGAT_ZA_FAJS"" ""ES_LEMD_ZA_FAJS"" ""FR_FMEE_ZA_FAOR"" ""FR_LF90_ZA_FAJS"" ""FR_LFPG_ZA_FAJS"" ""FR_LFPG_ZA_FAOR"" ""IT_LIRF_ZA_FAJS"" ""NL_EHAM_ZA_FAJS"" ""NL_EHAM_ZA_FAOR"" ""PT_LPPT_ZA_FAJS"" ""UK_EGLL_ZA_FAJS"" ""UK_EGLL_ZA_FAOR""]"
PAS,PAS_CRD,Tunis,2221413,1969814,1919786,1891891,1902681,2155822,1765081,2194950,2087345,2167730,2072181,1945100,1829166,1714000,1468527,1509519,1551832,1371829,1409731,1534273,1446025,1385555,1199296,1200429,1186434,"[""BE_EBBR_TN_DTTA"" ""CH_LSGG_TN_DTTA"" ""DE_EDDB_TN_DTTA"" ""DE_EDDF_TN_DTTA"" ""ES_LEBL_TN_DTTA"" ""ES_LEMD_TN_DTTA"" ""FR_LF90_TN_DTTA"" ""FR_LFBD_TN_DTTA"" ""FR_LFBO_TN_DTTA"" ""FR_LFLL_TN_DTTA"" ""FR_LFML_TN_DTTA"" ""FR_LFMN_TN_DTTA"" ""FR_LFPG_TN_DTTA"" ""FR_LFPO_TN_DTTA"" ""FR_LFQQ_TN_DTTA"" ""FR_LFRS_TN_DTTA"" ""FR_LFSB_TN_DTTA"" ""FR_LFST_TN_DTTA"" ""IT_LIMC_TN_DTTA"" ""IT_LIRF_TN_DTTA"" ""PL_EPKT_TN_DTTA""]"
PAS,PAS_CRD,Mexico City,2175547,1908480,1789086,1670209,1472791,1439240,1436144,1414343,1273752,1552351,1489025,1549762,1499599,1369212,1237187,1125371,1062348,1045686,915883,775676,691380,619603,550585,562690,486339,"[""DE_EDDF_MX_MMMX"" ""DE_EDDM_MX_MMMX"" ""ES_LEBL_MX_MMMX"" ""ES_LEMD_MX_MMMX"" ""FR_LF90_MX_MMMX"" ""FR_LFPG_MX_MMMX"" ""IT_LIRF_MX_MMMX"" ""NL_EHAM_MX_MMMX"" ""UK_EGKK_MX_MMMX"" ""UK_EGLL_MX_MMMX""]"
